--- Process Snapshot at 2026-02-27T15:39:44.856992 ---
PID        NAME                           STATUS         
-------------------------------------------------------
0          System Idle Process            running        
4          System                         running        
300                                       stopped        
332        Registry                       running        
644        dwm.exe                        running        
964        smss.exe                       running        
1304       csrss.exe                      running        
1308       Code.exe                       running        
1436       wininit.exe                    running        
1452       csrss.exe                      running        
1468       Dell.TechHub.DataManager.SubAgent.exe running        
1512       services.exe                   running        
1532       LsaIso.exe                     running        
1540       lsass.exe                      running        
1608       winlogon.exe                   running        
1680       RuntimeBroker.exe              running        
1704       ipf_helper.exe                 running        
1760       svchost.exe                    running        
1804       WUDFHost.exe                   running        
1868       svchost.exe                    running        
1904       chrome.exe                     running        
1916       svchost.exe                    running        
1920       svchost.exe                    running        
1980       WUDFHost.exe                   running        
1992       DDPM.Subagent.exe              running        
2028       svchost.exe                    running        
2056       svchost.exe                    running        
2064       svchost.exe                    running        
2116       conhost.exe                    running        
2208       svchost.exe                    running        
2216       svchost.exe                    running        
2228       svchost.exe                    running        
2236       svchost.exe                    running        
2244       svchost.exe                    running        
2272       chrome.exe                     running        
2356       svchost.exe                    running        
2380       IntelCpHDCPSvc.exe             running        
2412       unsecapp.exe                   running        
2508       svchost.exe                    running        
2520       svchost.exe                    running        
2552       BraveCrashHandler.exe          running        
2580       svchost.exe                    running        
2680       svchost.exe                    running        
2800       svchost.exe                    running        
2832       Dell.Update.SubAgent.exe       running        
2980       svchost.exe                    running        
3068       WmiPrvSE.exe                   running        
3080       svchost.exe                    running        
3308       svchost.exe                    running        
3368       svchost.exe                    running        
3392       svchost.exe                    running        
3420       NVDisplay.Container.exe        running        
3428       svchost.exe                    running        
3452       conhost.exe                    running        
3564       amdfendrsr.exe                 running        
3576       svchost.exe                    running        
3632       svchost.exe                    running        
3648       svchost.exe                    running        
3760       svchost.exe                    running        
3768       svchost.exe                    running        
3776       svchost.exe                    running        
3784       svchost.exe                    running        
3792       svchost.exe                    running        
3976       unsecapp.exe                   running        
3984       MemCompression                 running        
4048       svchost.exe                    running        
4068       svchost.exe                    running        
4108       svchost.exe                    running        
4168       sihost.exe                     running        
4244       svchost.exe                    running        
4312       svchost.exe                    running        
4352       svchost.exe                    running        
4416       chrome.exe                     running        
4452       svchost.exe                    running        
4460       svchost.exe                    running        
4704       conhost.exe                    running        
4764       WmiPrvSE.exe                   running        
4772       WmiPrvSE.exe                   running        
4896       svchost.exe                    running        
4920       svchost.exe                    running        
4988       svchost.exe                    running        
5088       Code.exe                       running        
5092       svchost.exe                    running        
5100       vpnagent.exe                   running        
5444       AdobeCollabSync.exe            running        
5732       SCNotification.exe             running        
5920       RtkAudUService64.exe           running        
5936       spoolsv.exe                    running        
6032       svchost.exe                    running        
6148       CmRcService.exe                running        
6168       svchost.exe                    running        
6188       Dell.TechHub.exe               running        
6196       svchost.exe                    running        
6212       svchost.exe                    running        
6252       fontdrvhost.exe                running        
6260       fontdrvhost.exe                running        
6268       DDPMNetworkKVMService.exe      running        
6312       DPMService.exe                 running        
6332       ipfsvc.exe                     running        
6360       svchost.exe                    running        
6388       hydra_service.exe              running        
6404       ipf_uf.exe                     running        
6412       dsm_sa_eventmgr64.exe          running        
6444       FNPLicensingService64.exe      running        
6452       svchost.exe                    running        
6460       jhi_service.exe                running        
6516       RtkAudUService64.exe           running        
6524       TbtP2pShortcutService.exe      running        
6532       nvWmi64.exe                    running        
6540       logi_lamparray_service.exe     running        
6552       svchost.exe                    running        
6560       svchost.exe                    running        
6576       WavesAudioService.exe          running        
6588       svchost.exe                    running        
6616       svchost.exe                    running        
6624       MpDefenderCoreService.exe      running        
6640       WMIRegistrationService.exe     running        
6648       WDTRpcServer.exe               running        
6664       WavesSysSvc64.exe              running        
6676       svchost.exe                    running        
6688       svchost.exe                    running        
6708       chrome.exe                     running        
6712       SearchIndexer.exe              running        
6728       MsMpEng.exe                    running        
6760       svchost.exe                    running        
